cluster,topics,aspects
0.0,"['well', 'sometim', 'time', 'alexa,', 'drain', 'camera', 'upto', 'app', 'inbuilt', 'alexa', 'googl', 'work', 'batteri', 'hand', 'free']",alexa
1.0,"['ke', 'bahut', 'se', 'camera', 'hi', 'hai', 'bhi', 'ki', 'ka', 'nahi', 'ye', 'ho', 'nhi']",none
2.0,"['x3', 'f1', 'f3', 'game', 'poco', 'use', 'compar', 'rang', 'far', 'perform', 'm2', 'gt', 'x2', 'ths']",brand
3.0,"['qualiti', 'm31', 'm31s', 'm30s', 'camera', 'm51', 'm30', 'compar', 'usng', 'batteri', 'perform', 'whch', 'ths']",brand
4.0,"['never', 'resist', 'water', 'dust', 'waterproof', 'one', 'ip68', 'ip', 'come', 'proof', 'rate', 'damag', 'price', 'screen']","waterproof, ip rating, dust resistant "
5.0,"['wallpap', 'one', 'screen', 'lock', 'chang', 'paid', 'get', 'thng', 'theme', 'super', 'set', 'provid', 'font', 'would', 'need', 'free']","wallpaper , theme, screen "
6.0,"['tme', 'time', 'day', 'around', 'game', 'hrs', 'gettng', 'get', 'hour', 'usag', 'screen', 'wth']","screen on time, screen time "
7.0,"['watchng', 'vdeo', 'revew', 'watch', 'lot', 'youtub', 'recordng', 'usng', 'upload', 'bought', 'wth', 'ths', 'qualti']",video
8.0,"['ssue', 'mode', 'tnt', 'dsplay', 'crush', 'facng', 'green', 'ths', 'lke', 'face', 'low', 'brghtness', 'dark', 'wth']","green tint, display, brightness "
9.0,"['ssue', 'dsplay', 'day', 'amol', 'mobl', 'purchas', 'one', 'screen', 'qualti', 'lke', 'replac', 'problem', 'ths', 'wth']","display, amoled , screen "
10.0,"['qualiti', 'ssue', 'heatng', 'heat', 'camera', 'one', 'use', 'issu', 'get', 'charg', 'batteri', 'problem', 'ths']","heating, camera, charging "
11.0,"['time', 'unlock', 'mask', 'featur', 'id', 'even', 'recognit', 'face', 'work', 'lock', 'slow', 'fast', 'light']","face recognition, unlock"
12.0,"['qualiti', 'life', 'scanner', 'camera', 'reader', 'print', 'finger', 'face', 'work', 'side', 'sensor', 'batteri', 'fast', 'fingerprint']","fingerprint reader, camera , scanner "
13.0,"['need', 'day', 'camera', 'wrost', 'compar', 'real', '30k', 'flagship', 'charg', 'iqoo7', 'iq007', 'segment', 'perform', 'batteri', 'monster', 'price']",brand
14.0,"['brand', 'look', 'daili', 'user', 'one', 'want', 'money', 'rang', 'experi', 'od', 'valu', 'overal', 'perform', 'price']",brand
15.0,"['devic', 'call', 'bluetooth', 'time', 'connect', 'use', 'speed', 'turn', 'issu', 'get', 'app', 'work', 'problem', 'disconnect', 'low']",bluetooth
16.0,"['bluetooth', 'jack', 'ear', 'mm', 'headset', 'headphon', 'head', 'miss', 'audio', 'box', 'get', 'provid', 'earphon', '5mm']","bluetooth, audio jack, headset"
17.0,"['enough', 'day', 'last', 'poor', 'app', 'back', 'amaz', 'mark', 'charg', 'back-up', 'usag', 'batteri', 'min', 'fast', 'ths', 'download']",battery backup
18.0,"['look', 'day', 'give', 'full', 'one', 'poor', 'normal', 'get', 'hour', 'charg', 'backup', 'fast', 'batteri', 'decent', 'usag']",battery backup
19.0,"['charger', 'adapt', 'short', 'adaptor', 'cabl', 'port', 'miss', 'box', 'data', 'charg', 'usb', 'type']","charger, adaptor, cable , usb"
20.0,"['devic', 'look', 'level', 'overal', 'one', 'featur', 'money', 'rang', 'flagship', 'true', 'get', 'experi', 'valu', 'budget', 'perform', 'price', 'feel']",none
21.0,"['devic', 'killer,', 'killer', 'overal', 'one', 'use', 'truli', 'featur', 'rang', 'flagship', 'true', 'review', 'segment', 'budget', 'softwar', 'perform', 'price']",none
22.0,"['phone', 'brand', 'china', 'updat', 'india', 'want', 'chines', 'compar', 'compani', 'data', 'rang', 'buyer', 'buy', 'secur', 'softwar', 'price']","manufacturer , company, brand, India, China"
23.0,"['brand', 'china', 'non-chines', 'look', 'well', 'made', 'one', 'chines', 'non', 'get', 'overal', 'product', 'price', 'thing']","manufacturer , company, brand, India, China"
24.0,"['brand', 'qualiti', 'china', 'support', 'made', 'one', 'india', 'custom', 'indian', 'manufactur', 'market', 'make', 'price']","manufacturer , company, brand, India, China"
25.0,"['funtouch', 'os', 'updat', 'bug', 'improv', 'lot', 'come', 'stock', 'app', 'mu', 'softwar', 'ui', 'android', 'touch', 'wth']","os, bug, ui"
26.0,"['dialer', 'miui', 'os', 'updat', 'user', 'bug', 'use', 'lot', 'softwar', 'app', 'issu', 'experi', 'ui', 'need']","dialer, miui, os, bug"
27.0,"['brand', '""hasselblad""', 'front', 'hassaelblad', 'hype', 'camera', 'one', 'expect', 'given', 'name', 'increas', 'work', 'tri', 'hasselblad', 'make', 'price', 'collabor']","hasselblad , camera"
28.0,"['defect', 'purchas', 'day', 'use', 'one', 'handset,', 'handset', 'got', 'replac', 'problem', 'price', 'ths', 'wth']",handset
29.0,"['ssue', 'never', 'oneplus', 'ever', 'updat', 'oneplus9', 'use', 'one', 'featur', 'lot', 'compar', 'ths', 'oneplus,', 'usng', 'softwar', 'perform', 'price', 'onplus']",brand
30.0,"['ssue', 'whle', 'day', 'dd', 'heatng', 'heat', 'chargng', 'lke', 'get', 'face', 'usng', 'problem', 'ths', 'wth']","heating, charging"
31.0,"['drain', 'day', 'heat', 'overh', 'drainag', 'issu', 'get', 'even', 'usag', 'batteri', 'problem', 'fast', 'life']",battery drain
32.0,"['devic', 'charger', 'time', 'warm', 'heat', 'bit', 'use', 'littl', 'normal', 'issu', 'get', 'charg', 'hot', 'batteri', 'fast']","charger, heating"
33.0,"['brand', 'peopl', 'purchas', 'day', 'price', 'one', 'want', 'thank', 'even', 'amazon', 'month', 'samsung,', 'bought', 'ths', 'wth']",brand
34.0,"['phone', 'superb', 'phone,', 'day', 'purchas', 'one', 'use', 'money', 'high', 'rang', 'amazon', 'valu', 'work', 'price', 'ths', 'wth']",brand
35.0,"['devic', 'play', 'game', 'heat', 'littl', 'high', 'pubg', 'normal', 'even', 'issu', 'get', 'hour', 'cod', 'warm', 'heavi']","gaming, heating, pubg, cod"
36.0,"['phone', 'ssue', 'heatng', 'heat', 'use', 'game', 'issu', 'get', 'even', 'app', 'hour', 'hot', 'problem']","heating, game"
37.0,"['day', '5000mah', 'mah', '5000', 'last', 'one', '6000mah', 'even', 'batteri', '6000', 'life']",battery
38.0,"['peopl', 'well', 'becom', 'overheat', 'day', 'overh', 'heat', 'bit', 'say', 'use', 'issu', 'even', 'get', 'overheatng', 'problem', 'wth']", heating
39.0,"['punch', 'look', 'notch', 'water', 'drop', 'camera', 'hole', 'small', 'old', 'display', 'front']"," punch, notch, camera, display"
40.0,"['time', 'cool', 'heat', 'hot', 'littl', 'bit', 'use', 'normal', 'continu', 'even', 'get', 'usag', 'warm', 'quick']"," punch, notch, camera, display"
41.0,"['heat', 'littl', 'use', 'one', 'normal', 'major', 'issu', 'even', 'get', 'face', 'notic', 'start', 'problem', 'serious']",heating
42.0,"['hype', 'day', 'usual,', 'one', 'upto', 'accord', 'standard', 'got', 'mark', 'per', 'expect', 'satisfi', 'ok', 'price']",none
43.0,"['charger', 'life', 'full', 'one', '65', 'warp', 'charg', 'work', 'min', 'batteri', 'fast', 'watt', '65w']","charger, warp charger, battery"
44.0,"['charger', '55w', '65', 'speed', '66w', 'flash', 'charg', 'min', 'batteri', 'fast', 'watt', '65w']","charger , flash , charging"
45.0,"['devic', 'charger', 'enough', 'quick', '33w', '33', 'even', 'get', 'charg', 'min', 'batteri', 'fast', 'watt']","charger , charging, battery"
46.0,"['25w', 'charger', 'adapt', 'support', 'take', 'box', '25', '15w', 'charg', 'provid', '15', 'fast', 'watt']","charger , adapter"
47.0,"['qualiti', 'balanc', 'around', 'all,', 'one', 'beast', 'could', 'mind', 'compar', 'get', 'segment,', 'without', 'rate', 'segment', 'absolut', 'overal', 'perform', 'love']",none
48.0,"['stop', 'qualiti', 'charger', 'adapt', 'one', 'issu', 'box', 'get', 'even', 'charg', 'month', 'work', 'batteri', 'problem', 'ths']","charger, charging, adapter"
49.0,"['time', 'day', 'user', 'one', 'use', 'twice', 'last', 'even', 'hour', 'charg', 'usag', 'need', 'heavi', 'two']","usage,charge"
50.0,"['ssue', 'day', 'lfe', 'one', 'chargng', 'lke', 'dran', 'usng', 'batteri', 'fast', 'ths', 'wth']","battery life,battery"
51.0,"['drain', 'day', 'quick', 'drainag', 'use', 'even', 'issu', 'hour', 'charg', 'faster', 'usag', 'batteri', 'fast']","battery drain, battery"
52.0,"['bettari', 'drain', 'day', 'littl', 'normal', 'even', 'carri', 'issu', 'hour', 'cannot', 'within', 'work', 'faster', 'usag', 'slow', '20%', 'fast']","battery drain, battery"
53.0,"['charger', 'time', 'full', 'featur', 'take', 'speed', 'issu', 'long', 'hour', 'charg', 'fast,', 'work', 'batteri', 'fast', 'life']","battery life, battery"
54.0,"['time', 'charger', 'full', 'fulli', 'take', 'speed', 'get', 'hour', 'charg', '100%', 'min', 'slow', 'fast', 'batteri']","charging, charger"
55.0,"['servic', 'seri', 'mother', 'day', 'chang', 'replac', 'board', 'motherboard', 'center', 'need', 'problem', 'said']","motherboard, service "
56.0,"['day', 'full', 'one', 'last', 'normal', 'hour', 'moder', 'usag', 'batteri', 'heavi', 'easili', 'life']",battery 
57.0,"['superb', 'disappoint', 'day', 'one', 'ok', 'poor', 'normal', 'last', 'amaz', 'even', 'long', 'expect', 'usag', 'batteri', 'perform', 'life']","battery life, battery "
58.0,"['except', 'day', 'life', 'optim', 'optimis', 'improv', 'one', 'poor', 'last', 'featur', 'manag', 'ok', 'need', 'perform', 'batteri']",battery 
